#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
952,DSM CAPELLA,9271511,Chornomorsk,Türkiye,Corn,30000,5/17/2023,,:tr:,developing,other developing,Upper middle income,21,May
951,SEAEAGLE,9153056,Odesa,Saudi Arabia,Corn,62000,5/16/2023,,:sa:,developing,other developing,High income,21,May
950,K SUKRET,9571442,Odesa,Morocco,Sunflower meal,19800,5/15/2023,5/17/2023,:ma:,developing,other developing,Lower middle income,21,May
949,MASTRO MITROS,9228071,Odesa,Egypt,Corn,32611,5/14/2023,,:eg:,developing,other developing,Lower middle income,20,May
949,MASTRO MITROS,9228071,Odesa,Egypt,Soya beans,8704,5/14/2023,,:eg:,developing,other developing,Lower middle income,19,May
948,DENIZ M (WFP),9450703,Odesa,Sudan,Wheat,30000,5/14/2023,,:sd:,developing,least developed,Low income,19,May
947,PACIFIC ROSE,9299460,Chornomorsk,Türkiye,Wheat,26250,5/12/2023,5/17/2023,:tr:,developing,other developing,Upper middle income,19,May
946,NAVIOS HOPE,9328558,Odesa,China,Barley,62000,5/12/2023,5/16/2023,:cn:,developing,other developing,Upper middle income,19,May
945,QUEEN LILA,9303376,Yuzhny/Pivdennyi,Egypt,Corn,30450,5/11/2023,5/16/2023,:eg:,developing,other developing,Lower middle income,19,May
944,MARIA,9041772,Odesa,Spain,Wheat,20721,5/11/2023,5/16/2023,:es:,developed,developed,High income,19,May
943,AG VALOR,9312327,Odesa,Egypt,Corn,10351,5/11/2023,5/16/2023,:eg:,developing,other developing,Lower middle income,19,May
943,AG VALOR,9312327,Odesa,Egypt,Wheat,15999,5/11/2023,5/16/2023,:eg:,developing,other developing,Lower middle income,19,May
942,LADY ZEHMA,9303431,Chornomorsk,Egypt,Corn,19350,5/10/2023,5/15/2023,:eg:,developing,other developing,Lower middle income,19,May
942,LADY ZEHMA,9303431,Chornomorsk,Egypt,Wheat,10650,5/10/2023,5/15/2023,:eg:,developing,other developing,Lower middle income,19,May
941,ENEIDA,9198381,Chornomorsk,Spain,Corn,41105,5/10/2023,5/17/2023,:es:,developed,developed,High income,19,May
940,MAHA JACQUELINE,9185073,Chornomorsk,Spain,Corn,64229,5/9/2023,5/15/2023,:es:,developed,developed,High income,19,May
939,WADI ALKARM,9460760,Yuzhny/Pivdennyi,China,Corn,10027,5/8/2023,5/14/2023,:cn:,developing,other developing,Upper middle income,19,May
939,WADI ALKARM,9460760,Yuzhny/Pivdennyi,China,Sunflower meal,53157,5/8/2023,5/14/2023,:cn:,developing,other developing,Upper middle income,19,May
938,MAGNUM POWER,9488968,Odesa,Bangladesh,Wheat,50000,5/8/2023,5/16/2023,:bd:,developing,least developed,Lower middle income,19,May
937,LUCKY GLORY,9254111,Odesa,China,Corn,64000,5/8/2023,5/15/2023,:cn:,developing,other developing,Upper middle income,19,May
936,NEW VENTURE,9597812,Odesa,Spain,Corn,9500,5/6/2023,5/14/2023,:es:,developed,developed,High income,18,May
936,NEW VENTURE,9597812,Odesa,Spain,Wheat,47800,5/6/2023,5/14/2023,:es:,developed,developed,High income,18,May
936,NEW VENTURE,9597812,Odesa,Spain,Barley,9200,5/6/2023,5/14/2023,:es:,developed,developed,High income,18,May
935,NADA,9197088,Chornomorsk,Spain,Corn,23009,5/6/2023,5/14/2023,:es:,developed,developed,High income,18,May
934,LADY ZEHRA,9309617,Chornomorsk,Spain,Wheat,30000,5/6/2023,5/14/2023,:es:,developed,developed,High income,18,May
933,BELLA JUDI,9595371,Odesa,Tunisia,Corn,32300,5/5/2023,5/14/2023,:tn:,developing,other developing,Lower middle income,18,May
932,TORC,9544683,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,12400,5/4/2023,5/13/2023,:tr:,developing,other developing,Upper middle income,18,May
931,EUROSUN,9546227,Chornomorsk,Türkiye,Corn,32700,5/4/2023,5/13/2023,:tr:,developing,other developing,Upper middle income,18,May
930,SOFIA,9472086,Odesa,Bangladesh,Wheat,54099,5/3/2023,5/14/2023,:bd:,developing,least developed,Lower middle income,18,May
929,BC LARA,9598024,Chornomorsk,Spain,Wheat,33000,5/3/2023,5/13/2023,:es:,developed,developed,High income,18,May
928,ISLANDER,9136565,Chornomorsk,Morocco,Sunflower meal,16927,5/1/2023,5/12/2023,:ma:,developing,other developing,Lower middle income,18,May
927,CHRYSANTHI S,9527441,Chornomorsk,The Netherlands,Corn,63276,5/1/2023,5/13/2023,:nl:,developed,developed,High income,18,May
926,CHAMPION PULA,9341146,Odesa,China,Sunflower oil,39722,5/1/2023,5/13/2023,:cn:,developing,other developing,Upper middle income,18,May
925,FAIA G,9550424,Odesa,Spain,Wheat,27600,4/29/2023,5/12/2023,:es:,developed,developed,High income,17,April
924,ST. DIMITRIOS,9401518,Odesa,China,Corn,67950,4/28/2023,5/11/2023,:cn:,developing,other developing,Upper middle income,17,April
923,NEW VICTORY,9159050,Odesa,Libya,Corn,25500,4/28/2023,5/13/2023,:ly:,developing,other developing,Upper middle income,17,April
922,FATMA SARI,9087233,Chornomorsk,Egypt,Corn,38600,4/28/2023,5/12/2023,:eg:,developing,other developing,Lower middle income,17,April
921,SEA BAZOU,9391141,Yuzhny/Pivdennyi,China,Sunflower oil,19230,4/27/2023,5/12/2023,:cn:,developing,other developing,Upper middle income,17,April
920,RUBYMAR,9138898,Yuzhny/Pivdennyi,Türkiye,Wheat,30322,4/27/2023,5/10/2023,:tr:,developing,other developing,Upper middle income,17,April
919,OCEANMASTER,9641340,Odesa,Kenya,Wheat,49840,4/27/2023,5/12/2023,:ke:,developing,other developing,Lower middle income,17,April
