#,Vessel name,IMO,Country,Departure port,Commodity,Tonnage,Departure,Inspection cleared
1,RAZONI,9086526,TBD and Türkiye,Odesa,Corn,26527,01-Aug-22,03-Aug-22
2,NAVI STAR,9590979,Ireland,Odesa,Corn,33000,05-Aug-22,06-Aug-22
3,ROJEN,9754927,Italy,Chornomorsk,Corn,13041,05-Aug-22,07-Aug-22
4,POLARNET,9758961,Türkiye,Chornomorsk,Corn,12000,05-Aug-22,07-Aug-22
5,GLORY,9288473,Iran,Chornomorsk,Corn,66084,07-Aug-22,09-Aug-22
6,STAR HELENA,9361213,China,Chornomorsk,Sunflower meal,45000,07-Aug-22,09-Aug-22
7,RIVA WIND,9301196,Türkiye,Odesa,Corn,44000,07-Aug-22,09-Aug-22
8,MUSTAFA NECATI,9736690,Italy,Chornomorsk,Sunflower oil,6000,07-Aug-22,10-Aug-22
9,ARIZONA,9592733,Türkiye,Chornomorsk,Corn,48459,08-Aug-22,10-Aug-22
10,SACURA,9497000,Italy,Yuzhny/Pivdennyi,Soya beans,11000,08-Aug-22,10-Aug-22
11,OCEAN LION,9296248,Republic of Korea,Chornomorsk,Corn,64720,09-Aug-22,11-Aug-22
12,RAHMI YAGCI,9550852,Türkiye,Chornomorsk,Sunflower meal,5300,09-Aug-22,13-Aug-22
13,STAR LAURA,9328936,Iran,Yuzhny/Pivdennyi,Corn,60150,12-Aug-22,14-Aug-22
14,SORMOVSKIY 121,8133578,Türkiye,Chornomorsk,Wheat,3050,12-Aug-22,15-Aug-22
15,FULMAR S,9370082,Türkiye,Chornomorsk,Corn,12000,13-Aug-22,15-Aug-22
16,THOE,9400588,Türkiye,Chornomorsk,Sunflower seed,2914,13-Aug-22,16-Aug-22
17,OSPREY S,9300843,Türkiye,Chornomorsk,Corn,11500,16-Aug-22,18-Aug-22
18,BONITA,9231286,Republic of Korea,Yuzhny/Pivdennyi,Corn,60000,16-Aug-22,18-Aug-22
19,RAMUS,9318400,Türkiye,Chornomorsk,Wheat,6161,16-Aug-22,19-Aug-22
20,BRAVE COMMANDER,9136931,Djibouti,Yuzhny/Pivdennyi,Wheat,23300,16-Aug-22,21-Aug-22
21,PETREL S,9363883,The Netherlands,Chornomorsk,Sunflower meal,18500,17-Aug-22,19-Aug-22
22,SARA,9259020,Türkiye,Odesa,Corn,8000,17-Aug-22,19-Aug-22
23,EFE,9558763,Türkiye,Odesa,Sunflower oil,7250,17-Aug-22,19-Aug-22
24,PROPUS,9133757,Romania,Chornomorsk,Wheat,9111,18-Aug-22,19-Aug-22
25,I MARIA,8914697,Romania,Chornomorsk,Corn,27982,18-Aug-22,22-Aug-22
26,ZUMRUT ANA,9633549,Italy,Chornomorsk,Sunflower oil,6300,20-Aug-22,22-Aug-22
27,OCEAN S,9086320,Türkiye,Chornomorsk,Wheat,25000,20-Aug-22,22-Aug-22
28,FILYOZ,9407213,Türkiye,Chornomorsk,Sunflower oil,5000,21-Aug-22,23-Aug-22
29,DA LIANG,9608415,Republic of Korea,Chornomorsk,Sugar beet pellet,14000,21-Aug-22,23-Aug-22
30,FOYLE,9317676,Türkiye,Yuzhny/Pivdennyi,Sunflower oil,4300,21-Aug-22,23-Aug-22
31,KUBROSLI Y,8000836,Türkiye,Odesa,Wheat,11000,21-Aug-22,24-Aug-22
32,MARANTA,9206669,Greece,Chornomorsk,Corn,5300,22-Aug-22,24-Aug-22
33,GREAT ARSENAL,9159062,Egypt,Chornomorsk,Wheat,25500,22-Aug-22,24-Aug-22
34,KAFKAM ETLER,9001112,Türkiye,Chornomorsk,Corn,2437,23-Aug-22,25-Aug-22
35,GANOSAYA,9151400,Lebanon,Odesa,Corn,16500,24-Aug-22,26-Aug-22
36,ZHE HAI 505,9567477,The Netherlands,Odesa,Rapeseed,29600,24-Aug-22,26-Aug-22
37,BELLIS,9381952,Israel,Odesa,Soya beans,6000,25-Aug-22,27-Aug-22
38,ASCANIOS,9276169,Germany,Yuzhny/Pivdennyi,Corn,58510,25-Aug-22,27-Aug-22
39,MOHAMAD Y,8107000,Türkiye,Odesa,Wheat,11000,25-Aug-22,27-Aug-22
40,AVIVA,9410131,India,Chornomorsk,Sunflower oil,19100,26-Aug-22,28-Aug-22
41,SEAEAGLE,9153056,Sudan,Chornomorsk,Wheat,65340,26-Aug-22,28-Aug-22
42,ZELEK STAR,9379117,Türkiye,Chornomorsk,Peas,3700,26-Aug-22,29-Aug-22
43,PRETTY LADY,9223174,Egypt,Chornomorsk,Corn,45000,26-Aug-22,29-Aug-22
44,ADNAN TORLAK,9243253,France,Chornomorsk,Rapeseed,14750,27-Aug-22,29-Aug-22
45,ORIS SOFI,8920282,Türkiye,Yuzhny/Pivdennyi,Sunflower oil,5900,27-Aug-22,29-Aug-22
46,S BREEZE,9317145,Egypt,Chornomorsk,Corn,44000,27-Aug-22,01-Sep-22
47,SSI INVINCIBLE II,9434747,China,Chornomorsk,Barley,49500,28-Aug-22,31-Aug-22
48,DS SOFIE BULKER,9310604,Spain,Odesa,Barley,27000,28-Aug-22,31-Aug-22
49,SILVER LADY,9279367,Italy,Yuzhny/Pivdennyi,Corn,39494,28-Aug-22,31-Aug-22
50,MELINA,9550424,Romania,Yuzhny/Pivdennyi,Corn,27500,28-Aug-22,31-Aug-22
51,FPMC B 201,9468229,Egypt,Odesa,Wheat,33000,28-Aug-22,01-Sep-22
52,AEOLOS,9228382,The Netherlands,Odesa,Corn,30000,28-Aug-22,02-Sep-22
53,ASH BALTIC,9606493,Egypt,Odesa,Corn,11000,29-Aug-22,01-Sep-22
54,PEACE M,9086318,Romania,Odesa,Corn,24485,29-Aug-22,01-Sep-22
55,ANASTASIA,8926121,Türkiye,Chornomorsk,Wheat,3800,29-Aug-22,04-Sep-22
56,SEAJOY,9213820,Spain,Chornomorsk,Corn,64215,30-Aug-22,01-Sep-22
57,SAFFET AGA,9376282,Türkiye,Chornomorsk,Corn,3236,30-Aug-22,01-Sep-22
58,MICHALIS,9545510,Spain,Odesa,Corn,33000,30-Aug-22,01-Sep-22
59,LADY ZEHMA,9303431,Italy,Chornomorsk,Corn,30274,30-Aug-22,03-Sep-22
60,KARTERIA,9236092,Yemen,Yuzhny/Pivdennyi,Wheat,37500,30-Aug-22,03-Sep-22
61,SIMAS,9000314,Italy,Odesa,Wheat,15000,30-Aug-22,04-Sep-22
62,LADY AILLAR,9550278,Spain,Yuzhny/Pivdennyi,Corn,27000,31-Aug-22,05-Sep-22
63,MARAN ASTRONOMER,9581239,The Netherlands,Yuzhny/Pivdennyi,Corn,74500,31-Aug-22,05-Sep-22
64,DAYTONA DYNAMIC,8914726,Türkiye,Odesa,Corn,25850,01-Sep-22,04-Sep-22
65,HAZAR S,9545467,Türkiye,Chornomorsk,Corn,5500,01-Sep-22,04-Sep-22
66,HELGA,9444912,Türkiye,Odesa,Corn,27000,01-Sep-22,05-Sep-22
67,ENEIDA,9198381,Türkiye,Chornomorsk,Corn,8560,01-Sep-22,05-Sep-22
67,ENEIDA,9198381,Türkiye,Chornomorsk,Wheat,35470,01-Sep-22,05-Sep-22
68,MASSA J,9224867,Somalia,Yuzhny/Pivdennyi,Wheat,28500,01-Sep-22,07-Sep-22
69,CANGA STAR,9540039,France,Chornomorsk,Rapeseed,7000,02-Sep-22,07-Sep-22
70,MAVKA,9284647,Romania,Chornomorsk,Sunflower oil,12500,02-Sep-22,05-Sep-22
71,SPRING,8408650,Türkiye,Chornomorsk,Wheat,8500,02-Sep-22,05-Sep-22
72,KATSUYAMA,9274678,India,Chornomorsk,Sunflower oil,21000,02-Sep-22,05-Sep-22
73,STELLA GS,9363285,Israel,Odesa,Corn,30300,02-Sep-22,06-Sep-22
74,FULMAR S,9370082,Bulgaria,Yuzhny/Pivdennyi,Sunflower meal,9835,02-Sep-22,05-Sep-22
75,SARA,9259020,Türkiye,Odesa,Wheat,6600,03-Sep-22,07-Sep-22
76,LADY EVA,9008110,Greece,Chornomorsk,Wheat,6117,04-Sep-22,07-Sep-22
77,CANOPUS,9401025,India,Yuzhny/Pivdennyi,Sunflower oil,42000,04-Sep-22,06-Sep-22
78,SEA DOLPHIN C,9486427,The Netherlands,Yuzhny/Pivdennyi,Rapeseed,31098,04-Sep-22,06-Sep-22
79,SEALOCK,8218380,Türkiye,Chornomorsk,Peas,2070,04-Sep-22,09-Sep-22
80,MUBARIZ IBRAHIMOV,9575292,Türkiye,Odesa,Sunflower oil,6600,04-Sep-22,09-Sep-22
81,MAINA,9699892,Spain,Yuzhny/Pivdennyi,Corn,56500,04-Sep-22,07-Sep-22
82,GEN. POLAD HASHIMOV,9575307,Türkiye,Chornomorsk,Sunflower oil,6450,04-Sep-22,07-Sep-22
83,BC CALLISTO,9400916,Egypt,Chornomorsk,Wheat,31400,04-Sep-22,09-Sep-22
84,MRC LINA,9462299,Türkiye,Yuzhny/Pivdennyi,Sunflower oil,7800,04-Sep-22,07-Sep-22
85,LADY PERLA,9149732,Italy,Yuzhny/Pivdennyi,Corn,20500,04-Sep-22,07-Sep-22
86,AFANASIY MATYSHENKO,8227783,Türkiye,Chornomorsk,Wheat,3000,04-Sep-22,TBD
87,NORD VIRGO,9711937,China,Yuzhny/Pivdennyi,Corn,62340,04-Sep-22,09-Sep-22
88,GOLDEN YARA,8915299,Türkiye,Yuzhny/Pivdennyi,Wheat,13500,05-Sep-22,10-Sep-22
89,MY MERAY,9000302,Egypt,Chornomorsk,Corn,30000,05-Sep-22,10-Sep-22
90,BARON,7352476,Türkiye,Odesa,Corn,5750,05-Sep-22,10-Sep-22
91,IRMGARD,9590967,Türkiye,Odesa,Wheat,27500,06-Sep-22,11-Sep-22
91,IRMGARD,9590967,Türkiye,Odesa,Corn,7179,06-Sep-22,11-Sep-22
92,QUEEN SARA,9132507,Egypt,Chornomorsk,Corn,11091,06-Sep-22,11-Sep-22
93,ORIS PRINCESS,9119907,Israel,Chornomorsk,Sunflower meal,4510,06-Sep-22,12-Sep-22
94,NEW LEVANT,9111371,Türkiye,Odesa,Wheat,26500,06-Sep-22,10-Sep-22
95,VITIS,9000613,Italy,Yuzhny/Pivdennyi,Sunflower oil,5800,06-Sep-22,10-Sep-22
96,OCMIS ADVENTURE,8919831,Greece,Yuzhny/Pivdennyi,Corn,4862,06-Sep-22,10-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Sunflower meal,8640,07-Sep-22,12-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Barley,34071,07-Sep-22,12-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Wheat,20095,07-Sep-22,12-Sep-22
98,SUPER HENRY,9407483,Kenya,Odesa,Wheat,51400,07-Sep-22,TBD
99,ELIANA,9327310,Türkiye,Chornomorsk,Sunflower oil,5200,07-Sep-22,11-Sep-22
100,KAPTAN CEVDET,9005895,Türkiye,Chornomorsk,Soya beans,2472,07-Sep-22,12-Sep-22
101,JASMIN QUEEN,9109861,Türkiye,Odesa,Corn,9531,08-Sep-22,12-Sep-22
102,CAPTAIN ADAM 1,8914087,Türkiye,Chornomorsk,Wheat,9300,08-Sep-22,12-Sep-22
103,DIGNITY,9118238,Türkiye,Chornomorsk,Sunflower seed,8200,08-Sep-22,12-Sep-22
104,FILYOZ,9407213,Türkiye,Odesa,Sunflower oil,4410,08-Sep-22,12-Sep-22
105,SANTANA,9449388,Italy,Odesa,Wheat,10000,08-Sep-22,12-Sep-22
106,KIRAN AMERICA,9491264,China,Chornomorsk,Barley,30000,09-Sep-22,14-Sep-22
106,KIRAN AMERICA,9491264,China,Chornomorsk,Corn,20000,09-Sep-22,14-Sep-22
107,SUPER BAYERN,9278911,Egypt,Yuzhny/Pivdennyi,Corn,33000,09-Sep-22,13-Sep-22
108,SEVIL,9148518,Romania,Chornomorsk,Rapeseed,4700,09-Sep-22,13-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Corn,32794,10-Sep-22,16-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Wheat,13853,10-Sep-22,16-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Barley,10853,10-Sep-22,16-Sep-22
110,LUCKY,9037305,Greece,Yuzhny/Pivdennyi,Corn,6000,10-Sep-22,14-Sep-22
110,LUCKY,9037305,Greece,Yuzhny/Pivdennyi,Barley,4400,10-Sep-22,14-Sep-22
111,PRINCESS AMNAH,9008067,Italy,Chornomorsk,Wheat,6000,10-Sep-22,13-Sep-22
112,A-LINE,9246920,Egypt,Chornomorsk,Corn,10700,10-Sep-22,13-Sep-22
113,LADY SHAM,9171383,Italy,Odesa,Sunflower seed,5600,10-Sep-22,14-Sep-22
114,BRIZA,9286815,Greece,Chornomorsk,Corn,6500,11-Sep-22,15-Sep-22
115,MAGNOLIA,9575333,Türkiye,Chornomorsk,Sunflower oil,6600,11-Sep-22,16-Sep-22
116,S-BRILLIANT,9275323,The Netherlands,Chornomorsk,Rapeseed,40220,11-Sep-22,15-Sep-22
117,AHMET CAN,9368182,Türkiye,Chornomorsk,Wheat bran pellets,2800,12-Sep-22,16-Sep-22
118,SALLY M,9152844,Lebanon,Chornomorsk,Corn,6857,12-Sep-22,17-Sep-22
119,NORD STARK,9691591,Spain,Chornomorsk,Wheat,27500,12-Sep-22,17-Sep-22
120,ORIS SOFI,8920282,Türkiye,Odesa,Sunflower oil,3026,12-Sep-22,15-Sep-22
120,ORIS SOFI,8920282,Lebanon,Odesa,Sunflower oil,2973,12-Sep-22,15-Sep-22
